ID,kind,number,harai,ninki
201901010101,単勝,1,140,1
201901010101,複勝,1br3br4,110br110br470,1br2br7
201901010101,枠連,1 - 3,190,1
201901010101,馬連,1 - 3,190,1
201901010101,ワイド,1 - 3br1 - 4br3 - 4,"120br840br1,100",1br12br13
201901010101,馬単,1 → 3,290,1
201901010101,三連複,1 - 3 - 4,1610,6
201901010101,三連単,1 → 3 → 4,3560,10
201901010102,単勝,7,430,4
201901010102,複勝,7br1br6,180br500br400,4br7br5
201901010102,馬連,1 - 7,2780,9
201901010102,ワイド,1 - 7br6 - 7br1 - 6,"910br860br3,110",12br10br26
201901010102,馬単,7 → 1,3980,15
201901010102,三連複,1 - 6 - 7,11360,35
201901010102,三連単,7 → 1 → 6,41370,152
201901010103,単勝,2,450,3
201901010103,複勝,2br6br11,150br140br420,2br1br7
201901010103,枠連,2 - 6,690,2
201901010103,馬連,2 - 6,800,2
201901010103,ワイド,2 - 6br2 - 11br6 - 11,"330br1,090br1,020",2br16br15
201901010103,馬単,2 → 6,1750,4
201901010103,三連複,2 - 6 - 11,3750,14
201901010103,三連単,2 → 6 → 11,15350,51
201901010104,単勝,10,950,3
201901010104,複勝,10br6br8,380br320br420,3br2br5
201901010104,枠連,4 - 6,1470,6
201901010104,馬連,6 - 10,1790,6
201901010104,ワイド,6 - 10br8 - 10br6 - 8,480br940br700,5br10br8
201901010104,馬単,10 → 6,4250,15
201901010104,三連複,6 - 8 - 10,3700,13
201901010104,三連単,10 → 6 → 8,24640,75
201901010105,単勝,1,1070,4
201901010105,複勝,1br8br3,230br790br110,4br8br1
201901010105,枠連,1 - 7,13310,22
201901010105,馬連,1 - 8,27100,31
201901010105,ワイド,1 - 8br1 - 3br3 - 8,"5,020br350br1,680",32br3br16
201901010105,馬単,1 → 8,46660,55
201901010105,三連複,1 - 3 - 8,9180,25
201901010105,三連単,1 → 8 → 3,131990,236
201901010106,単勝,8,860,5
201901010106,複勝,8br5br2,"200br120br1,250",4br1br8
201901010106,馬連,5 - 8,960,4
201901010106,ワイド,5 - 8br2 - 8br2 - 5,"390br4,510br3,110",4br25br21
201901010106,馬単,8 → 5,2340,11
201901010106,三連複,2 - 5 - 8,13740,34
201901010106,三連単,8 → 5 → 2,70330,179
201901010107,単勝,8,180,1
201901010107,複勝,8br4br7,110br620br750,1br9br11
201901010107,枠連,4 - 7,2030,7
201901010107,馬連,4 - 8,1990,7
201901010107,ワイド,4 - 8br7 - 8br4 - 7,"890br1,260br5,290",10br14br46
201901010107,馬単,8 → 4,2800,10
201901010107,三連複,4 - 7 - 8,15760,51
201901010107,三連単,8 → 4 → 7,42180,147
201901010108,単勝,2,430,3
201901010108,複勝,2br6br5,170br190br400,2br4br8
201901010108,枠連,2 - 5,940,4
201901010108,馬連,2 - 6,1270,4
201901010108,ワイド,2 - 6br2 - 5br5 - 6,"470br1,190br1,030",4br19br15
201901010108,馬単,2 → 6,2110,7
