,着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),ID,corner1_diff,corner2_diff,corner3_diff,corner4_diff,condition,racename,racestart,racekind,raceweather,racefieldconditin
0,1,1,1,ゴルコンダ,牡2,54.0,ルメー,1:48.3,,1.0,1.4,36.5,1-1-1-1,美浦木村,518(-16),201901010101,0,0,0,0,B,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
1,2,3,3,プントファイヤー,牡2,54.0,岩田康,1:50.1,大,2.0,3.5,38.2,2-2-2-2,美浦手塚,496(-8),201901010101,1.8,1.5,0.3,1.5,B,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
2,3,4,4,ラグリマスネグラス,牡2,51.0,▲団野,1:50.9,5,6.0,46.6,38.8,2-4-3-3,美浦藤沢和,546(+6),201901010101,1.5,3.3,1.8,4.5,B,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
3,4,8,9,キタノコドウ,牡2,51.0,▲菅原明,1:51.5,3.1/2,7.0,56.8,38.5,8-8-8-7,美浦高木,458(-8),201901010101,8.1,9.9,9.6,10.8,C,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
4,5,5,5,ネモフィラブルー,牡2,54.0,川島,1:51.7,1.1/2,9.0,140.3,38.9,5-6-6-6,栗東矢作,436(0),201901010101,4.8,7.8,6.6,9.3,C,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
5,6,8,8,マイネルラクスマン,牡2,54.0,丹内,1:52.1,2.1/2,3.0,9.7,40.1,5-2-3-3,美浦金成,480(+8),201901010101,5.1,1.8,2.1,4.8,B,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
6,7,2,2,サンモンテベロ,牝2,54.0,黛,1:52.5,2.1/2,8.0,114.7,39.6,7-8-7-7,美浦中野,450(+2),201901010101,6.6,9.6,8.1,11.100000000000001,B,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
7,8,7,7,エスカレーション,牝2,54.0,藤岡佑,1:52.5,アタマ,5.0,26.1,39.5,8-6-8-9,美浦高柳瑞,448(-4),201901010101,8.4,8.1,9.9,12.600000000000001,B,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
8,9,6,6,セイウンジュリア,牝2,54.0,池添,1:52.6,クビ,4.0,16.4,40.3,4-5-5-5,栗東浅見,470(0),201901010101,3.3,4.8,3.6,6.3,B,2歳未勝利,09:50発走,芝1800m(右,天候:曇,馬場:良
0,1,7,7,イエスサンキュー,牝3,54.0,加藤,0:59.2,,4.0,4.3,35.7,3-2,栗東羽月,492(+2),201901010102,0.0,0.0,2.1,1.8,C,3歳未勝利,10:15発走,ダ1000m(右),天候:曇,馬場:良
